idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"2391750","2026-06-19 19:00:00","Round 2","USA","","Australia","","https://r2.thesportsdb.com/images/media/event/poster/8p0h1r1775110726.jpg","https://r2.thesportsdb.com/images/media/event/thumb/jsz07z1775058339.jpg"
"2391749","2026-06-19 22:00:00","Round 2","Scotland","","Morocco","","https://r2.thesportsdb.com/images/media/event/poster/6uxdre1775110726.jpg","https://r2.thesportsdb.com/images/media/event/thumb/h9f6ho1775058338.jpg"
"2391748","2026-06-20 00:30:00","Round 2","Brazil","","Haiti","","https://r2.thesportsdb.com/images/media/event/poster/bv13cj1775110725.jpg","https://r2.thesportsdb.com/images/media/event/thumb/cbpzq61775058337.jpg"
"2461111","2026-06-20 03:00:00","Round 2","Turkey","","Paraguay","","https://r2.thesportsdb.com/images/media/event/poster/4vre081775110764.jpg","https://r2.thesportsdb.com/images/media/event/thumb/wy0mgc1775058379.jpg"
"2461112","2026-06-20 17:00:00","Round 2","Netherlands","","Sweden","","https://r2.thesportsdb.com/images/media/event/poster/1rtu7v1775110765.jpg","https://r2.thesportsdb.com/images/media/event/thumb/x1073h1775058380.jpg"
"2391752","2026-06-20 20:00:00","Round 2","Germany","","Ivory Coast","","https://r2.thesportsdb.com/images/media/event/poster/3xncd61775110728.jpg","https://r2.thesportsdb.com/images/media/event/thumb/jzc7kq1775058341.jpg"
"2391751","2026-06-21 00:00:00","Round 2","Ecuador","","Curaçao","","https://r2.thesportsdb.com/images/media/event/poster/kpn9qv1775110727.jpg","https://r2.thesportsdb.com/images/media/event/thumb/2ccwlo1775058340.jpg"
"2391753","2026-06-21 04:00:00","Round 2","Tunisia","","Japan","","https://r2.thesportsdb.com/images/media/event/poster/y8nfqy1775110729.jpg","https://r2.thesportsdb.com/images/media/event/thumb/y5fihn1775058342.jpg"
"2391756","2026-06-21 16:00:00","Round 2","Spain","","Saudi Arabia","","https://r2.thesportsdb.com/images/media/event/poster/atuecw1775110732.jpg","https://r2.thesportsdb.com/images/media/event/thumb/kv7yiz1775058345.jpg"
"2391754","2026-06-21 19:00:00","Round 2","Belgium","","Iran","","https://r2.thesportsdb.com/images/media/event/poster/6if4dh1775110730.jpg","https://r2.thesportsdb.com/images/media/event/thumb/c4jyvr1775058343.jpg"
"2391757","2026-06-21 22:00:00","Round 2","Uruguay","","Cape Verde","","https://r2.thesportsdb.com/images/media/event/poster/y7bqso1775110733.jpg","https://r2.thesportsdb.com/images/media/event/thumb/ga832m1775058346.jpg"
"2391755","2026-06-22 01:00:00","Round 2","New Zealand","","Egypt","","https://r2.thesportsdb.com/images/media/event/poster/d6fdnq1775110731.jpg","https://r2.thesportsdb.com/images/media/event/thumb/zxmks31775058344.jpg"
"2391758","2026-06-22 17:00:00","Round 2","Argentina","","Austria","","https://r2.thesportsdb.com/images/media/event/poster/hewfts1775110734.jpg","https://r2.thesportsdb.com/images/media/event/thumb/ho62ce1775058347.jpg"
"2461113","2026-06-22 21:00:00","Round 2","France","","Iraq","","https://r2.thesportsdb.com/images/media/event/poster/tvqmpv1775110765.jpg","https://r2.thesportsdb.com/images/media/event/thumb/2t7p3w1775058381.jpg"
"2391760","2026-06-23 00:00:00","Round 2","Norway","","Senegal","","https://r2.thesportsdb.com/images/media/event/poster/ljqm9e1775110736.jpg","https://r2.thesportsdb.com/images/media/event/thumb/3azkme1775058349.jpg"
"2391759","2026-06-23 03:00:00","Round 2","Jordan","","Algeria","","https://r2.thesportsdb.com/images/media/event/poster/2kztsi1775110735.jpg","https://r2.thesportsdb.com/images/media/event/thumb/qoftsk1775058348.jpg"
"2391763","2026-06-23 17:00:00","Round 2","Portugal","","Uzbekistan","","https://r2.thesportsdb.com/images/media/event/poster/2kb5dz1775110739.jpg","https://r2.thesportsdb.com/images/media/event/thumb/kdr7qh1775058352.jpg"
"2391761","2026-06-23 20:00:00","Round 2","England","","Ghana","","https://r2.thesportsdb.com/images/media/event/poster/1pz3z81775110737.jpg","https://r2.thesportsdb.com/images/media/event/thumb/e5dedu1775058350.jpg"
"2391762","2026-06-23 23:00:00","Round 2","Panama","","Croatia","","https://r2.thesportsdb.com/images/media/event/poster/3z5fma1775110738.jpg","https://r2.thesportsdb.com/images/media/event/thumb/72bcb41775058351.jpg"
"2461114","2026-06-24 02:00:00","Round 2","Colombia","","DR Congo","","https://r2.thesportsdb.com/images/media/event/poster/a9f1uu1775110766.jpg","https://r2.thesportsdb.com/images/media/event/thumb/o44l951775058382.jpg"
